comparison_idx,trial,seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s
3,1,101,3021,1,2.279875,0.010334,4021,1,2.934146,67.043446
3,2,211,3022,1,2.499999,0.011613,4022,0,nan,56.500431
3,3,307,3023,1,2.281596,0.010628,4023,0,nan,49.061968
3,4,401,3024,1,2.315747,0.009325,4024,0,nan,52.760305
3,5,503,3025,1,2.759618,0.010532,4025,1,2.365705,60.231170
3,6,601,3026,1,2.354703,0.009994,4026,1,3.126911,58.407565
3,7,701,3027,1,2.059731,0.010383,4027,0,nan,51.360020
3,8,809,3028,1,2.253418,0.010061,4028,0,nan,50.089604
3,9,907,3029,1,2.332991,0.011009,4029,0,nan,51.466883
3,10,1009,3030,1,2.258338,0.015959,4030,1,2.423356,61.298296
