[[0.784768, -0.157900, 0.800495], [0.996995, 1.043900, 1.443512]]
[[0.271801, -0.752939, 0.800495], [1.409523, -0.311403, 1.443512]]
[[-0.223374, -0.752939, 0.785374], [0.914348, -0.311403, 0.965921]]
[[-0.592423, -0.515604, 0.785374], [0.604600, -0.753301, 0.965921]]
[[-0.784347, 0.040157, 0.785374], [-0.087785, -0.961924, 0.965921]]
[[-0.773152, -0.138018, 0.785374], [0.131724, -0.956897, 0.965921]]
[[-0.374746, -0.690201, 0.785374], [0.829831, -0.494352, 0.965921]]
[[0.396747, -0.677794, 0.785374], [0.852389, 0.454352, 0.965921]]
[[-0.050940, -0.677794, 0.679706], [0.404702, 0.454352, 0.608457]]
[[0.532473, -0.422459, 0.679706], [-0.149028, 0.589924, 0.608457]]
[[0.670666, 0.110488, 0.679706], [-0.537040, 0.286020, 0.608457]]
[[0.606746, 0.306364, 0.679706], [-0.598066, 0.111965, 0.608457]]
[[0.674340, -0.085236, 0.679706], [-0.433250, 0.427216, 0.608457]]
[[0.419265, -0.534992, 0.679706], [-0.007338, 0.608412, 0.608457]]
[[-0.075001, -0.534991, 0.540223], [-0.501604, 0.608413, 0.788526]]
[[-0.565418, -0.534992, 0.778405], [-0.992022, 0.608412, 1.163732]]
[[-0.983482, -0.534992, 1.119577], [-1.410086, 0.608412, 1.535743]]
[[-1.062116, 0.354065, 1.119577], [-0.517181, 1.446040, 1.535743]]
[[-0.333636, 1.068709, 1.119577], [0.870879, 1.264941, 1.535743]]
[[0.191088, 1.103149, 1.119577], [1.352331, 0.727811, 1.535743]]
[[-0.186892, 1.103149, 1.118869], [0.974351, 0.727811, 1.216169]]
