comparison_idx,trial,seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s,lateral_diffusion_run_idx,lateral_diffusion_success,lateral_diffusion_path_length_m,lateral_diffusion_wall_runtime_s
6,1,101,3051,1,2.279875,0.010379,4051,1,2.934146,44.508471,5051,1,2.056868,57.669039
6,2,211,3052,1,2.499999,0.011321,4052,0,nan,57.251733,5052,1,2.349175,49.920232
6,3,307,3053,1,2.281596,0.010375,4053,0,nan,33.589794,5053,1,2.665221,50.531958
6,4,401,3054,1,2.315747,0.009150,4054,0,nan,51.856236,5054,0,nan,33.395556
6,5,503,3055,1,2.759618,0.010409,4055,1,2.365705,40.783975,5055,1,1.997563,45.675742
6,6,601,3056,1,2.354703,0.009926,4056,1,3.126911,38.779076,5056,1,2.449528,59.627186
6,7,701,3057,1,2.059731,0.010269,4057,0,nan,55.011314,5057,0,nan,36.525096
6,8,809,3058,1,2.253418,0.010017,4058,0,nan,50.736472,5058,0,nan,49.575564
6,9,907,3059,1,2.332991,0.010850,4059,0,nan,35.105882,5059,0,nan,43.675047
6,10,1009,3060,1,2.258338,0.009552,4060,1,2.423356,60.706185,5060,0,nan,50.691135
