[[0.784768, -0.157900, 0.800495], [0.996995, 1.043900, 1.443512]]
[[0.298680, -0.742686, 0.800495], [1.419802, -0.260556, 1.443512]]
[[-0.197863, -0.742686, 0.768591], [0.923259, -0.260556, 0.959321]]
[[-0.726541, -0.250740, 0.768591], [0.299606, -0.911336, 0.959321]]
[[-0.150706, -0.753671, 0.768591], [0.937833, -0.201905, 0.959321]]
[[0.527065, -0.559407, 0.768591], [0.707815, 0.647529, 0.959321]]
[[0.042754, -0.559406, 0.561038], [0.223505, 0.647529, 0.685017]]
[[-0.457245, -0.559407, 0.722502], [-0.276495, 0.647529, 0.704090]]
[[-0.957247, -0.559406, 1.108718], [-0.776496, 0.647530, 1.011059]]
[[-1.026627, 0.418680, 1.108718], [0.040812, 1.010235, 1.011059]]
[[-1.030906, -0.408031, 1.108718], [-0.669509, 0.757626, 1.011059]]
[[-0.960372, 0.554023, 1.108718], [0.177423, 0.995370, 1.011059]]
[[-0.641537, 0.904260, 1.108718], [0.576627, 0.830507, 1.011059]]
