[[0.784768, -0.157900, 0.800495], [0.996995, 1.043900, 1.443512]]
[[0.260429, -0.756948, 0.800495], [1.404672, -0.332600, 1.443512]]
[[-0.239571, -0.756948, 0.793955], [0.904672, -0.332600, 0.963875]]
[[0.535750, -0.585949, 0.793955], [0.740377, 0.617169, 0.963875]]
[[0.775322, 0.170999, 0.793955], [-0.164296, 0.949770, 0.963875]]
[[0.633610, -0.478438, 0.793955], [0.615431, 0.741822, 0.963875]]
[[0.133610, -0.478438, 0.496743], [0.115431, 0.741822, 0.750749]]
[[-0.366390, -0.478437, 0.602614], [-0.384569, 0.741822, 0.835580]]
[[-0.866390, -0.478437, 0.989714], [-0.884569, 0.741823, 1.154454]]
[[-0.847534, 0.511097, 0.989714], [0.200152, 1.136971, 1.154454]]
[[0.018856, 0.989534, 0.989714], [1.084722, 0.395149, 1.154454]]
[[-0.481145, 0.989534, 1.100308], [0.584721, 0.395149, 0.705721]]
[[0.494699, 0.982828, 1.100308], [0.668867, -0.225075, 0.705721]]
[[1.098504, 0.062993, 1.100308], [0.139513, -0.691793, 0.705721]]
[[0.603805, -0.919836, 1.100308], [-0.529354, -0.466718, 0.705721]]
[[-0.494700, -0.982828, 1.100308], [-0.668867, 0.225075, 0.705721]]
[[-1.098504, -0.062992, 1.100308], [-0.139513, 0.691793, 0.705721]]
