trial,seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s
1,101,3001,1,1.775503,0.009059,4001,0,nan,72.724265
2,211,3002,1,1.899588,0.008818,4002,1,1.734847,61.909615
3,307,3003,1,1.848741,0.008072,4003,1,2.455386,42.833014
4,401,3004,1,1.784419,0.009366,4004,1,1.874805,61.301390
5,503,3005,1,1.757293,0.011012,4005,1,1.661391,42.248778
6,601,3006,1,1.869688,0.010843,4006,1,1.904927,59.538403
7,701,3007,1,1.883847,0.010164,4007,1,1.942378,40.619739
8,809,3008,1,1.816550,0.011125,4008,1,1.899163,59.558578
9,907,3009,1,1.692397,0.010502,4009,1,1.691091,46.434445
10,1009,3010,1,2.000000,0.008058,4010,1,1.849295,44.345921
