comparison_idx,trial,seed,diffusion_seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s,lateral_diffusion_run_idx,lateral_diffusion_success,lateral_diffusion_path_length_m,lateral_diffusion_wall_runtime_s
1,1,101,42,3001,1,2.682445,0.048871,4001,1,1.992404,116.349322,5001,1,2.056868,81.622791
1,2,211,42,3002,1,2.514139,0.028281,4002,1,2.036668,90.811245,5002,1,2.275864,112.966888
1,3,307,42,3003,1,3.336009,0.028156,4003,1,2.521154,89.749931,5003,1,2.665221,81.077235
1,4,401,42,3004,1,2.417504,0.027365,4004,1,2.463589,82.537136,5004,1,3.228658,73.632488
1,5,503,42,3005,1,2.477771,0.027163,4005,1,2.077899,91.462267,5005,1,1.996453,71.186880
1,6,601,42,3006,1,2.234002,0.026963,4006,1,2.225631,81.724722,5006,1,2.380243,94.166608
1,7,701,42,3007,1,2.574075,0.028508,4007,1,2.303668,93.035632,5007,1,3.179294,84.725483
1,8,809,42,3008,1,2.717369,0.033045,4008,1,2.707696,87.608318,5008,1,2.908496,77.984556
1,9,907,42,3009,1,2.482524,0.027510,4009,1,2.352347,88.104262,5009,1,2.190500,81.305211
1,10,1009,42,3010,1,2.753770,0.026894,4010,1,3.250405,114.336633,5010,1,2.637317,85.849069
