[[0.784768, -0.157900, 0.800495], [0.996995, 1.043900, 1.443512]]
[[0.327057, -0.730634, 0.800495], [1.428782, -0.205690, 1.443512]]
[[-0.172944, -0.730635, 0.750824], [0.928781, -0.205690, 0.951285]]
[[-0.493273, -0.730634, 0.881558], [0.608452, -0.205690, 0.642279]]
[[0.353591, -0.807538, 0.881558], [0.499193, 0.404140, 0.642279]]
[[-0.481479, -0.738459, 0.881558], [0.611676, -0.195895, 0.642279]]
[[-0.876358, -0.095612, 0.881558], [0.236155, -0.597288, 0.642279]]
[[-0.664407, -0.579403, 0.881558], [0.535196, -0.355088, 0.642279]]
[[0.035813, -0.880830, 0.881558], [0.611961, 0.195003, 0.642279]]
[[0.712867, -0.518618, 0.881558], [0.226924, 0.600856, 0.642279]]
[[0.214663, -0.518619, 0.561289], [-0.271280, 0.600856, 0.659258]]
[[-0.280569, -0.518619, 0.589648], [-0.766513, 0.600856, 0.973945]]
[[-0.692134, -0.518619, 0.864878], [-1.178077, 0.600855, 1.322457]]
[[-0.864244, 0.033111, 0.864878], [-0.536596, 1.208701, 1.322457]]
[[-0.446373, 0.740787, 0.864878], [0.716302, 1.111667, 1.322457]]
[[-0.930407, 0.740788, 1.189296], [0.232268, 1.111668, 1.135673]]
[[-0.496398, 1.080747, 1.189296], [0.708599, 0.887492, 1.135673]]
