[[0.784768, -0.157900, 0.800495], [0.996995, 1.043900, 1.443512]]
[[0.255639, -0.758579, 0.800495], [1.402542, -0.341472, 1.443512]]
[[-0.244361, -0.758579, 0.796966], [0.902542, -0.341473, 0.964980]]
[[-0.779129, -0.167666, 0.796966], [0.155547, -0.952361, 0.964980]]
[[-0.779129, 0.105159, 0.786194], [0.155546, -0.679535, 0.697110]]
[[-0.298494, 0.727325, 0.786194], [-0.510721, -0.474475, 0.697110]]
[[0.319822, 0.718203, 0.786194], [-0.695866, 0.041636, 0.697110]]
[[0.781893, 0.082127, 0.786194], [-0.311875, 0.623455, 0.697110]]
[[0.582521, -0.527987, 0.786194], [0.256724, 0.648117, 0.697110]]
[[0.082521, -0.527986, 0.534396], [-0.243276, 0.648118, 0.692272]]
[[-0.417479, -0.527986, 0.673096], [-0.743276, 0.648118, 0.986162]]
[[-0.669765, -0.066880, 0.673096], [-0.050722, 0.984857, 0.986162]]
[[-1.169765, -0.066880, 1.171675], [-0.550722, 0.984857, 1.128379]]
