[[0.635894, -0.471324, 0.791522], [1.173886, 0.641133, 1.337557]]
[[0.139615, -0.471324, 0.491568], [0.677607, 0.641133, 0.932846]]
[[-0.340583, -0.471324, 0.581501], [0.197409, 0.641132, 0.670836]]
[[0.095038, -0.573682, 0.581501], [-0.316432, 0.591517, 0.670836]]
[[-0.374008, -0.445265, 0.581501], [0.243583, 0.625051, 0.670836]]
[[-0.577110, 0.071321, 0.581501], [0.656915, 0.135958, 0.670836]]
[[-0.309914, 0.492033, 0.581501], [0.520922, -0.422684, 0.670836]]
[[0.027808, 0.580835, 0.581501], [0.184876, -0.644858, 0.670836]]
[[0.301438, 0.497271, 0.581501], [-0.145028, -0.654972, 0.670836]]
[[0.356425, 0.459461, 0.581501], [-0.219114, -0.634043, 0.670836]]
[[0.374070, 0.445213, 0.581501], [-0.243670, -0.625017, 0.670836]]
[[0.467913, 0.345254, 0.581501], [-0.383237, -0.550591, 0.670836]]
[[0.525860, 0.248223, 0.581501], [-0.482502, -0.466061, 0.670836]]
[[0.566927, 0.129371, 0.581501], [-0.571413, -0.351437, 0.670836]]
[[0.571803, -0.105758, 0.581501], [-0.663878, -0.096369, 0.670836]]
[[0.348815, -0.465265, 0.581501], [-0.553500, 0.379024, 0.670836]]
[[-0.067783, -0.577537, 0.581501], [-0.139981, 0.656069, 0.670836]]
[[-0.562081, -0.577536, 0.805905], [-0.634279, 0.656070, 0.912545]]
