iter,rollout_step,extension_type,near_idx,sample_x,sample_y,sample_theta,current_x,current_y,current_theta,local_x,local_y,local_theta,target_mode,action_dx_robot,action_dy_robot,action_dtheta,candidate_x,candidate_y,candidate_theta,accepted,status
0,0,goal_directed_diffusion,0,-0.497669,1.478746,-0.693571,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,translation,0.496279,0.000000,0.000000,0.536207,0.262276,1.722037,1,accepted
0,1,goal_directed_diffusion,0,-0.497669,1.478746,-0.693571,0.536207,0.262276,1.722037,0.460875,0.756569,1.722037,translation,0.480197,0.000000,0.000000,0.463858,0.736992,1.722037,1,accepted
0,2,goal_directed_diffusion,0,-0.497669,1.478746,-0.693571,0.463858,0.736992,1.722037,0.388526,1.231284,1.722037,translation,0.498314,0.000000,0.000000,0.388780,1.229617,1.722037,1,accepted
0,3,goal_directed_diffusion,0,-0.497669,1.478746,-0.693571,0.388780,1.229617,1.722037,0.388780,1.229617,2.769235,rotation,0.000000,0.000000,0.977843,0.388780,1.229617,2.699880,1,accepted
0,4,goal_directed_diffusion,0,-0.497669,1.478746,-0.693571,0.388780,1.229617,2.699880,-0.063230,1.443362,2.699880,translation,0.473584,0.000000,0.000000,-0.039350,1.432069,2.699880,0,endpoint_collision
1,0,goal_directed_diffusion,4,0.995484,0.049138,-1.474334,0.388780,1.229617,2.699880,0.388780,1.229617,-2.536107,rotation,0.000000,0.000000,0.499345,0.388780,1.229617,-3.083960,1,accepted
1,1,goal_directed_diffusion,4,0.995484,0.049138,-1.474334,0.388780,1.229617,-3.083960,0.388780,1.229617,-2.036762,rotation,0.000000,0.000000,0.216388,0.388780,1.229617,-2.867572,1,accepted
1,2,goal_directed_diffusion,4,0.995484,0.049138,-1.474334,0.388780,1.229617,-2.867572,0.388780,1.229617,-1.820374,rotation,0.000000,0.000000,0.281813,0.388780,1.229617,-2.585759,1,accepted
1,3,goal_directed_diffusion,4,0.995484,0.049138,-1.474334,0.388780,1.229617,-2.585759,0.388780,1.229617,-1.538561,rotation,0.000000,0.000000,0.132910,0.388780,1.229617,-2.452848,1,accepted
1,4,goal_directed_diffusion,4,0.995484,0.049138,-1.474334,0.388780,1.229617,-2.452848,0.388780,1.229617,-1.405651,rotation,0.000000,0.000000,0.059530,0.388780,1.229617,-2.393319,1,accepted
1,5,goal_directed_diffusion,4,0.995484,0.049138,-1.474334,0.388780,1.229617,-2.393319,0.388780,1.229617,-1.346121,rotation,0.000000,0.000000,0.127062,0.388780,1.229617,-2.266257,1,accepted
1,6,goal_directed_diffusion,4,0.995484,0.049138,-1.474334,0.388780,1.229617,-2.266257,0.388780,1.229617,-1.219060,rotation,0.000000,0.000000,0.060223,0.388780,1.229617,-2.206034,1,accepted
1,7,goal_directed_diffusion,4,0.995484,0.049138,-1.474334,0.388780,1.229617,-2.206034,0.388780,1.229617,-1.158836,rotation,0.000000,0.000000,-0.111147,0.388780,1.229617,-2.317181,0,angular_no_progress
2,0,goal_directed_diffusion,11,1.106283,0.849985,-1.544723,0.388780,1.229617,-2.206034,0.388780,1.229617,-1.158836,rotation,0.000000,0.000000,0.024234,0.388780,1.229617,-2.181800,1,accepted
2,1,goal_directed_diffusion,11,1.106283,0.849985,-1.544723,0.388780,1.229617,-2.181800,0.388780,1.229617,-1.134603,rotation,0.000000,0.000000,0.067079,0.388780,1.229617,-2.114721,1,accepted
2,2,goal_directed_diffusion,11,1.106283,0.849985,-1.544723,0.388780,1.229617,-2.114721,0.388780,1.229617,-1.067524,rotation,0.000000,0.000000,0.331696,0.388780,1.229617,-1.783025,1,accepted
2,3,goal_directed_diffusion,11,1.106283,0.849985,-1.544723,0.388780,1.229617,-1.783025,0.388780,1.229617,-0.735828,rotation,0.000000,0.000000,0.089484,0.388780,1.229617,-1.693542,1,accepted
2,4,goal_directed_diffusion,11,1.106283,0.849985,-1.544723,0.388780,1.229617,-1.693542,0.388780,1.229617,-0.646344,rotation,0.000000,0.000000,-0.062717,0.388780,1.229617,-1.756259,0,angular_no_progress
3,0,goal_directed_diffusion,13,0.418070,0.420835,-2.097399,0.388780,1.229617,-2.114721,0.130031,0.801775,-2.114721,translation,-0.088639,0.000000,0.000000,0.434650,1.305464,-2.114721,0,positional_no_progress
4,0,goal_directed_diffusion,4,-0.176989,1.626392,2.393099,0.388780,1.229617,2.699880,-0.063230,1.443362,2.699880,translation,0.419552,0.000000,0.000000,0.009496,1.408971,2.699880,0,endpoint_collision
5,0,goal_directed_diffusion,3,-0.376210,1.261067,0.511152,0.388780,1.229617,1.722037,0.388780,1.229617,2.769235,rotation,0.000000,0.000000,1.023808,0.388780,1.229617,2.745845,1,accepted
5,1,goal_directed_diffusion,3,-0.376210,1.261067,0.511152,0.388780,1.229617,2.745845,-0.072574,1.422367,2.745845,translation,0.434757,0.000000,0.000000,-0.012374,1.397216,2.745845,0,endpoint_collision
6,0,goal_directed_diffusion,12,0.054900,1.079588,-2.152099,0.388780,1.229617,-2.181800,0.178787,0.929805,-2.181800,translation,-0.017791,0.000000,0.000000,0.398987,1.244190,-2.181800,0,positional_no_progress
7,0,goal_directed_diffusion,15,1.221379,1.264900,-0.845068,0.388780,1.229617,-1.693542,0.388780,1.229617,-0.646344,rotation,0.000000,0.000000,0.106420,0.388780,1.229617,-1.587122,1,accepted
7,1,goal_directed_diffusion,15,1.221379,1.264900,-0.845068,0.388780,1.229617,-1.587122,0.388780,1.229617,-0.539924,rotation,0.000000,0.000000,0.118861,0.388780,1.229617,-1.468260,1,accepted
7,2,goal_directed_diffusion,15,1.221379,1.264900,-0.845068,0.388780,1.229617,-1.468260,0.388780,1.229617,-0.421063,rotation,0.000000,0.000000,-0.013618,0.388780,1.229617,-1.481878,0,angular_no_progress
8,0,goal_directed_diffusion,18,0.395027,-0.294613,-1.157942,0.388780,1.229617,-1.468260,0.439958,0.732244,-1.468260,translation,-0.220122,0.000000,0.000000,0.366249,1.448584,-1.468260,0,positional_no_progress
9,0,goal_directed_diffusion,1,1.450358,0.327478,1.561690,0.536207,0.262276,1.722037,0.536207,0.262276,0.674839,rotation,0.000000,0.000000,-0.978807,0.536207,0.262276,0.743230,0,endpoint_collision
10,0,goal_directed_diffusion,1,-0.369946,0.330392,0.251636,0.536207,0.262276,1.722037,0.536207,0.262276,2.769235,rotation,0.000000,0.000000,0.929526,0.536207,0.262276,2.651563,0,endpoint_collision
11,0,goal_directed_diffusion,0,0.409284,-0.300254,1.631771,0.610979,-0.228338,1.722037,0.610979,-0.228338,2.769235,rotation,0.000000,0.000000,0.908464,0.610979,-0.228338,2.630501,1,accepted
11,1,goal_directed_diffusion,0,0.409284,-0.300254,1.631771,0.610979,-0.228338,2.630501,0.610979,-0.228338,-2.799086,rotation,0.000000,0.000000,1.047198,0.610979,-0.228338,-2.605487,1,accepted
11,2,goal_directed_diffusion,0,0.409284,-0.300254,1.631771,0.610979,-0.228338,-2.605487,0.426888,-0.337715,-2.605487,translation,0.053996,0.000000,0.000000,0.564558,-0.255918,-2.605487,1,accepted
11,3,goal_directed_diffusion,0,0.409284,-0.300254,1.631771,0.564558,-0.255918,-2.605487,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
12,0,goal_directed_diffusion,18,0.939988,1.707600,-1.258533,0.388780,1.229617,-1.468260,0.388780,1.229617,-0.421063,rotation,0.000000,0.000000,-0.050345,0.388780,1.229617,-1.518606,0,angular_no_progress
13,0,goal_directed_diffusion,1,1.448288,0.355187,1.055778,0.536207,0.262276,1.722037,0.536207,0.262276,0.674839,rotation,0.000000,0.000000,-0.976785,0.536207,0.262276,0.745252,0,endpoint_collision
14,0,goal_directed_diffusion,2,-0.219335,0.758951,0.116799,0.463858,0.736992,1.722037,0.463858,0.736992,2.769235,rotation,0.000000,0.000000,0.963794,0.463858,0.736992,2.685831,1,accepted
14,1,goal_directed_diffusion,2,-0.219335,0.758951,0.116799,0.463858,0.736992,2.685831,0.014895,0.957065,2.685831,translation,0.302144,0.000000,0.000000,0.192555,0.869980,2.685831,0,endpoint_collision
15,0,goal_directed_diffusion,14,-0.457588,0.913689,-1.740341,0.388780,1.229617,-1.783025,0.388780,1.229617,-2.784334,rotation,0.000000,0.000000,0.080364,0.388780,1.229617,-1.702661,0,angular_no_progress
16,0,goal_directed_diffusion,4,0.705117,1.607314,2.229597,0.388780,1.229617,2.699880,0.388780,1.229617,1.652683,rotation,0.000000,0.000000,-0.950071,0.388780,1.229617,1.749809,1,accepted
16,1,goal_directed_diffusion,4,0.705117,1.607314,2.229597,0.388780,1.229617,1.749809,0.388780,1.229617,0.873579,rotation,0.000000,0.000000,-0.950874,0.388780,1.229617,0.798935,1,accepted
16,2,goal_directed_diffusion,4,0.705117,1.607314,2.229597,0.388780,1.229617,0.798935,0.732402,1.582671,0.798935,translation,0.397196,0.000000,0.000000,0.665812,1.514254,0.798935,1,accepted
16,3,goal_directed_diffusion,4,0.705117,1.607314,2.229597,0.665812,1.514254,0.798935,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
17,0,goal_directed_diffusion,24,1.020082,1.259038,0.382090,0.388780,1.229617,0.798935,0.737515,1.587924,0.798935,translation,0.422581,0.000000,0.000000,0.683517,1.532445,0.798935,1,accepted
17,1,goal_directed_diffusion,24,1.020082,1.259038,0.382090,0.683517,1.532445,0.798935,0.683517,1.532445,-0.248262,rotation,0.000000,0.000000,-0.889063,0.683517,1.532445,-0.090128,1,accepted
17,2,goal_directed_diffusion,24,1.020082,1.259038,0.382090,0.683517,1.532445,-0.090128,1.115379,1.493416,-0.090128,translation,0.009466,0.000000,0.000000,0.692945,1.531593,-0.090128,1,accepted
17,3,goal_directed_diffusion,24,1.020082,1.259038,0.382090,0.692945,1.531593,-0.090128,1.117016,1.493268,-0.090128,translation,-0.065951,0.000000,0.000000,0.627261,1.537529,-0.090128,0,positional_no_progress
18,0,goal_directed_diffusion,24,-0.248911,-0.122179,0.898285,0.388780,1.229617,0.798935,0.388780,1.229617,-0.248262,rotation,0.000000,0.000000,-0.976489,0.388780,1.229617,-0.177554,1,accepted
18,1,goal_directed_diffusion,24,-0.248911,-0.122179,0.898285,0.388780,1.229617,-0.177554,0.388780,1.229617,-1.224751,rotation,0.000000,0.000000,-0.465052,0.388780,1.229617,-0.642606,1,accepted
18,2,goal_directed_diffusion,24,-0.248911,-0.122179,0.898285,0.388780,1.229617,-0.642606,0.388780,1.229617,-1.689803,rotation,0.000000,0.000000,-0.311030,0.388780,1.229617,-0.953635,1,accepted
