iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
0,random_sample,0,0.772713,1.945116,1.965716,0.610979,-0.228338,1.722037,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,1,accepted
1,random_sample,1,0.019377,0.539889,0.339122,0.535646,0.265955,1.722037,0.535646,0.265955,2.653764,0.093970,0.500309,2.653764,0,rotation_collision
2,random_sample,0,1.027982,-0.376554,1.950367,0.610979,-0.228338,1.722037,0.610979,-0.228338,0.674839,0.956533,0.048161,0.674839,0,translation_collision
3,random_sample,1,0.337471,1.634262,2.216881,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0.460314,0.760247,1.722037,1,accepted
4,random_sample,2,-0.187979,1.369914,1.636854,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,0.384982,1.254540,1.722037,1,accepted
5,random_sample,1,1.431744,0.585969,0.379081,0.535646,0.265955,1.722037,0.535646,0.265955,0.674839,0.926050,0.578341,0.674839,0,rotation_collision
6,lateral_motion,2,nan,nan,nan,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,0.163452,0.715004,1.722037,0,lateral_segment_collision
7,random_sample,3,-0.339758,1.527609,-0.324104,0.384982,1.254540,1.722037,0.384982,1.254540,2.769235,-0.080754,1.436446,2.769235,0,translation_collision
8,random_sample,1,1.078180,0.153177,2.216746,0.535646,0.265955,1.722037,0.535646,0.265955,0.674839,0.926050,0.578341,0.674839,0,rotation_collision
9,random_sample,1,0.854452,0.516948,0.628963,0.535646,0.265955,1.722037,0.535646,0.265955,0.674839,0.852460,0.519457,0.674839,0,rotation_collision
10,random_sample,2,0.412315,0.526283,2.471150,0.460314,0.760247,1.722037,0.460314,0.760247,2.769235,0.460314,0.760247,2.769235,0,duplicate_candidate
11,random_sample,4,0.028436,1.365308,-2.793861,0.460314,0.760247,2.769235,0.460314,0.760247,2.769235,-0.005422,0.942154,2.769235,0,translation_collision
