[[1.023482, 0.007372, 1.023509], [0.752367, 1.232664, 1.444132]]
[[0.695416, 0.007372, 0.695455], [0.424301, 1.232665, 1.303646]]
[[0.464721, -0.517390, 0.695455], [1.205898, 0.495282, 1.303646]]
[[-0.019690, -0.517390, 0.517765], [0.721486, 0.495281, 0.875126]]
[[-0.397765, -0.331456, 0.517765], [0.850776, -0.205003, 0.875126]]
[[-0.505310, -0.112879, 0.517765], [0.662868, -0.571360, 0.875126]]
[[-0.468817, 0.219752, 0.517765], [0.174977, -0.857455, 0.875126]]
[[-0.181878, 0.484769, 0.517765], [-0.473892, -0.735712, 0.875126]]
[[-0.028077, 0.517003, 0.517765], [-0.672771, -0.559666, 0.875126]]
[[0.001323, 0.517763, 0.517765], [-0.703462, -0.520564, 0.875126]]
[[0.233317, 0.462216, 0.517765], [-0.862189, -0.149921, 0.875126]]
[[0.478550, 0.197663, 0.517765], [-0.750843, 0.449534, 0.875126]]
[[0.453944, -0.249027, 0.517765], [-0.120273, 0.866822, 0.875126]]
[[0.191486, -0.481054, 0.517765], [0.459161, 0.744995, 0.875126]]
[[-0.146858, -0.481054, 0.502972], [0.120817, 0.744994, 0.754727]]
[[-0.646859, -0.481054, 0.806127], [-0.379184, 0.744994, 0.835941]]
[[-1.135694, -0.481055, 1.233376], [-0.868019, 0.744994, 1.143885]]
[[-0.603281, -1.075764, 1.233376], [-1.142442, 0.057440, 1.143885]]
[[0.337815, -1.186211, 1.233376], [-0.846036, -0.769867, 1.143885]]
[[0.224380, -1.187616, 1.208627], [-0.957716, -0.766317, 1.226565]]
