iter,rollout_step,extension_type,near_idx,sample_x,sample_y,sample_theta,current_x,current_y,current_theta,local_x,local_y,local_theta,target_mode,action_dx_robot,action_dy_robot,action_dtheta,candidate_x,candidate_y,candidate_theta,accepted,status
0,0,goal_directed_diffusion,0,-0.261617,1.591505,2.115051,0.958697,-0.289525,1.286021,0.958697,-0.289525,2.146291,rotation,0.000000,0.000000,0.982997,0.958697,-0.289525,2.269018,1,accepted
0,1,goal_directed_diffusion,0,-0.261617,1.591505,2.115051,0.958697,-0.289525,2.269018,0.637269,0.093468,2.269018,translation,0.498697,0.000000,0.000000,0.638107,0.092469,2.269018,1,accepted
0,2,goal_directed_diffusion,0,-0.261617,1.591505,2.115051,0.638107,0.092469,2.269018,0.316678,0.475463,2.269018,translation,0.466389,0.000000,0.000000,0.338286,0.449717,2.269018,0,endpoint_collision
1,0,goal_directed_diffusion,2,0.541134,0.093788,1.699035,0.638107,0.092469,2.269018,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
2,0,goal_directed_diffusion,2,1.332916,1.390778,2.402065,0.638107,0.092469,2.269018,0.638107,0.092469,1.221821,rotation,0.000000,0.000000,-1.047198,0.638107,0.092469,1.221820,1,accepted
2,1,goal_directed_diffusion,2,1.332916,1.390778,2.402065,0.638107,0.092469,1.221820,0.809075,0.562331,1.221820,translation,0.500001,0.000000,0.000000,0.809075,0.562332,1.221820,0,endpoint_collision
3,0,goal_directed_diffusion,3,-0.068959,0.973906,1.671683,0.638107,0.092469,1.221820,0.638107,0.092469,2.246862,rotation,0.000000,0.000000,0.921727,0.638107,0.092469,2.143547,1,accepted
3,1,goal_directed_diffusion,3,-0.068959,0.973906,1.671683,0.638107,0.092469,2.143547,0.367134,0.512676,2.143547,translation,0.478132,0.000000,0.000000,0.378985,0.494298,2.143547,0,endpoint_collision
4,0,goal_directed_diffusion,3,0.340666,0.605900,-0.971371,0.638107,0.092469,1.221820,0.638107,0.092469,2.095871,rotation,0.000000,0.000000,0.928946,0.638107,0.092469,2.150767,1,accepted
4,1,goal_directed_diffusion,3,0.340666,0.605900,-0.971371,0.638107,0.092469,2.150767,0.364107,0.510709,2.150767,translation,0.477534,0.000000,0.000000,0.376419,0.491917,2.150767,0,endpoint_collision
5,0,goal_directed_diffusion,2,1.428305,1.432265,-1.581238,0.638107,0.092469,2.269018,0.638107,0.092469,1.221821,rotation,0.000000,0.000000,-1.013156,0.638107,0.092469,1.255863,1,accepted
5,1,goal_directed_diffusion,2,1.428305,1.432265,-1.581238,0.638107,0.092469,1.255863,0.792983,0.567878,1.255863,translation,0.495310,0.000000,0.000000,0.791531,0.563419,1.255863,0,endpoint_collision
