[[1.023482, 0.007372, 1.023509], [0.752367, 1.232664, 1.444132]]
[[0.573687, -0.847616, 1.023509], [1.442988, 0.057459, 1.444132]]
[[0.074991, -0.847617, 0.850927], [0.944293, 0.057459, 0.946039]]
[[0.771553, -0.358864, 0.850927], [0.422385, 0.846511, 0.946039]]
[[0.093185, -0.845810, 0.850927], [0.942840, 0.077734, 0.946039]]
[[-0.586694, -0.616334, 0.850927], [0.667050, -0.670846, 0.946039]]
[[0.200081, -0.827070, 0.850927], [0.925278, 0.197105, 0.946039]]
[[0.802247, -0.283684, 0.850927], [0.339772, 0.882919, 0.946039]]
[[0.225207, -0.820585, 0.850927], [0.918838, 0.225226, 0.946039]]
[[-0.508921, -0.681966, 0.850927], [0.742365, -0.586417, 0.946039]]
[[-0.654816, -0.681965, 0.945442], [0.596470, -0.586416, 0.836457]]
[[-0.922781, 0.205756, 0.945442], [-0.191664, -0.814202, 0.836457]]
[[-0.518634, 0.790493, 0.945442], [-0.704738, -0.450560, 0.836457]]
[[-0.222638, 0.918854, 0.945442], [-0.815203, -0.187362, 0.836457]]
[[-0.035688, 0.944768, 0.945442], [-0.836175, -0.021703, 0.836457]]
[[-0.024475, 0.945125, 0.945442], [-0.836374, -0.011780, 0.836457]]
[[0.515856, 0.792309, 0.945442], [-0.695539, 0.464635, 0.836457]]
[[0.928489, 0.178238, 0.945442], [-0.147982, 0.823262, 0.836457]]
[[0.495568, 0.805154, 0.945442], [-0.707114, 0.446821, 0.836457]]
[[0.907201, 0.266170, 0.945442], [-0.225995, 0.805349, 0.836457]]
[[0.740341, -0.588009, 0.945442], [0.527924, 0.648811, 0.836457]]
[[0.240341, -0.588009, 0.635231], [0.027923, 0.648811, 0.649412]]
[[-0.259660, -0.588008, 0.642789], [-0.472078, 0.648812, 0.802380]]
[[0.338585, -0.546386, 0.642789], [-0.802047, -0.023123, 0.802380]]
[[0.214373, -0.605988, 0.642789], [-0.788552, 0.148324, 0.802380]]
[[-0.287861, -0.574729, 0.642789], [-0.440070, 0.670934, 0.802380]]
