[[1.023482, 0.007372, 1.023509], [0.752367, 1.232664, 1.444132]]
[[0.537970, -0.870723, 1.023509], [1.444130, -0.002553, 1.444132]]
[[0.037970, -0.870724, 0.871552], [0.944130, -0.002554, 0.944133]]
[[-0.735085, -0.468244, 0.871552], [0.469853, -0.818918, 0.944133]]
[[-0.735084, -0.202976, 0.762593], [0.469853, -0.553649, 0.726147]]
[[-0.543324, 0.535113, 0.762593], [-0.244547, -0.683730, 0.726147]]
[[0.191760, 0.738089, 0.762593], [-0.714401, -0.130081, 0.726147]]
[[0.735084, 0.202976, 0.762593], [-0.469854, 0.553649, 0.726147]]
[[0.543324, -0.535113, 0.762593], [0.244547, 0.683730, 0.726147]]
[[0.043324, -0.535113, 0.536864], [-0.255452, 0.683729, 0.729892]]
[[-0.456676, -0.535113, 0.703491], [-0.755453, 0.683730, 1.018919]]
